URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/renault-espace-2-0-dci-150ch-fap-initiale-7-places-diesel-noir-ec2d98bc-3396-4d95-b910-272d63aa88f3,,,,Monospace,Occasion,6,5,2124,3 mois,,11/2009,112 kW (152 CH),Boîte manuelle,1 995 cm³,Diesel,197 g/km (mixte),NOIR,Métallisé,Noir,19
https://www.autoscout24.fr/offres/ford-kuga-2-0-tdci-150ch-stop-u0026start-titanium-4x2-diesel-gris-549bd00c-7526-4bc9-8732-7ae70b6eea88,,,,SUV/4x4/Pick-Up,Occasion,5,5,12568,12 mois,,12/2017,112 kW (152 CH),Boîte manuelle,1 997 cm³,Diesel,122 g/km (mixte),GRIS C,,Noir,13
https://www.autoscout24.fr/offres/volkswagen-golf-2-0-tsi-210ch-gti-dsg6-3p-essence-blanc-f07258a2-2a54-442c-86ad-b23c487def8b,,,,Berline,Occasion,5,3,12583,12 mois,,11/2011,157 kW (213 CH),Boîte automatique,1 984 cm³,Essence,173 g/km (mixte),BLANC,,Noir,11
https://www.autoscout24.fr/offres/citroen-ds3-ds3-thp-150-sport-chic-essence-blanc-f09cc563-8605-4c0d-974d-065bf5e8a0b7,,,,Berline,Occasion,5,3,156,3 mois,,01/2011,115 kW (156 CH),Avant,1 598 cm³,Essence,,Blanc,,Rouge,10
https://www.autoscout24.fr/offres/peugeot-308-1-2-puretech-130ch-allure-s-u0026s-5p-essence-gris-bb138208-bdef-4a2d-b247-fbafc65f7624,,,,Berline,Occasion,5,5,2050,3 mois,,06/2015,97 kW (132 CH),Boîte manuelle,1 199 cm³,Essence,107 g/km (mixte),GRIS C,,Noir,5
https://www.autoscout24.fr/offres/toyota-verso-1-6-d-4d-112-long-dynamic-diesel-blanc-be4c74f6-a136-4de5-b45f-2dc54c083bcf,,,,Monospace,Occasion,7,5,r0069463,6 mois,,01/2016,82 kW (111 CH),Boîte manuelle,,Diesel,119 g/km (mixte),Blanc,,Gris,16
https://www.autoscout24.fr/offres/mercedes-benz-cl-220-cdi-blueefficiency-diesel-blanc-674e8e33-729c-41eb-b5dd-e572d5c77f50,,,,Coupé,Occasion,4,2,1y0m56pxr,6 mois,,07/2011,125 kW (170 CH),Boîte manuelle,2 143 cm³,Diesel,,White,,Noir,19
https://www.autoscout24.fr/offres/dacia-sandero-1-5-dci-85ch-eco2-prestige-diesel-bleu-affc672b-65bb-4134-87b5-7bda29b86d77,,,,Berline,Occasion,5,5,12705,12 mois,,06/2010,63 kW (86 CH),Boîte manuelle,1 461 cm³,Diesel,115 g/km (mixte),BLEU F,,Noir,17
https://www.autoscout24.fr/offres/bmw-116-116i-109-lounge-start-essence-noir-fa494fbd-fc78-4b76-ac3b-07de07d2dbe8,,,,Berline,Occasion,5,5,r0070684,6 mois,,06/2016,80 kW (109 CH),Boîte manuelle,,Essence,123 g/km (mixte),Noir,,Noir,15
https://www.autoscout24.fr/offres/peugeot-3008-1-5-bluehdi-130ch-s-u0026s-active-business-eat8-diesel-gris-99426886-51b7-4630-8920-409909b40bdf,,,,SUV/4x4/Pick-Up,Occasion,5,5,12422,12 mois,,06/2021,98 kW (133 CH),Boîte automatique,1 499 cm³,Diesel,136 g/km (mixte),GRIS F,,Noir,14
https://www.autoscout24.fr/offres/volkswagen-tiguan-2-0-tdi-140ch-bluemotion-technology-fap-sportline-diesel-noir-b0c097f8-d6cd-4044-8910-4f7bd32eec18,,,,SUV/4x4/Pick-Up,Occasion,5,5,13824,3 mois,,09/2011,104 kW (141 CH),Boîte manuelle,1 968 cm³,Diesel,150 g/km (mixte),NOIR,,Noir,12
https://www.autoscout24.fr/offres/renault-zoe-r240-22-kwh-life-premiere-main-entretien-constru-electrique-blanc-337f96c2-466b-4644-b9c4-70bb13db7e92,,,,Citadine,Occasion,5,5,r0070600,6 mois,,08/2016,68 kW (92 CH),Boîte automatique,,Electrique,0 g/km (mixte),Blanc,,Noir,7
https://www.autoscout24.fr/offres/peugeot-2008-1-5-bluehdi-130ch-s-u0026s-allure-business-eat8-diesel-gris-6f4fd845-75d7-47a3-a56e-eeb5e8d06307,,,,SUV/4x4/Pick-Up,Occasion,5,5,12515,12 mois,,05/2021,98 kW (133 CH),Boîte automatique,1 499 cm³,Diesel,123 g/km (mixte),GRIS F,,Noir,19
https://www.autoscout24.fr/offres/peugeot-5008-1-2-puretech-allure-s-u0026s-7pl-essence-gris-1acf7ca3-32d3-4b4e-843e-1bfa0091d96b,,,,Monospace,Occasion,7,5,2024,3 mois,,07/2016,97 kW (132 CH),Boîte manuelle,1 199 cm³,Essence,124 g/km (mixte),GRIS C,,Noir,13
https://www.autoscout24.fr/offres/peugeot-308-1-6-bluehdi-fap-120ch-business-pack-diesel-noir-806dcb0e-acd1-449d-8e6e-b5da52a55454,,,,Break,Occasion,5,5,2123,3 mois,,12/2015,90 kW (122 CH),Boîte manuelle,1 560 cm³,Diesel,85 g/km (mixte),NOIR,,Noir,12
https://www.autoscout24.fr/offres/bmw-216-bmw-srie-2-grand-coupe-216-da-bva8-business-an-202-diesel-noir-96cff4ee-8cfa-4768-82cf-78128980bcb6,,,,Berline,Occasion,5,,VRZ_CC04DA,6 mois,,01/2021,85 kW (116 CH),Boîte automatique,,Diesel,,Noir,Métallisé,Noir,9
https://www.autoscout24.fr/offres/audi-a4-2-0-tdi-150ch-dpf-s-line-multitronic-diesel-blanc-f1de129b-2ffd-487a-84bd-b9eb2a184b76,,,,Berline,Occasion,5,4,2154,6 mois,,03/2014,112 kW (152 CH),Boîte automatique,1 968 cm³,Diesel,127 g/km (mixte),BLANC,,Noir,20
https://www.autoscout24.fr/offres/peugeot-rifter-1-5-bluehdi-130cv-allure-long-7-places-11659ht-l3-diesel-bleu-0284a64c-8b5b-475d-b7ad-3fdbff4643e7,,,,Monospace,Occasion,7,,VRZ_6A4713,,,05/2019,96 kW (131 CH),Boîte manuelle,,Diesel,,Bleu,Métallisé,Noir,8
https://www.autoscout24.fr/offres/citroen-c6-2-2-hdi173-16v-lignage-fap-diesel-gris-08df5622-16e6-45a8-acde-0d44fe009e30,,,,Berline,Occasion,5,,13813,,,05/2007,129 kW (175 CH),Boîte manuelle,2 179 cm³,Diesel,175 g/km (mixte),GRIS C,,Gris,20
https://www.autoscout24.fr/offres/nissan-qashqai-1-2l-dig-t-115ch-acenta-essence-blanc-37980fba-ee1b-4eef-96ba-50ff55dff9f7,,,,SUV/4x4/Pick-Up,Occasion,5,5,2053,3 mois,,06/2014,86 kW (117 CH),Boîte manuelle,1 197 cm³,Essence,129 g/km (mixte),BLANC,,Noir,15
https://www.autoscout24.fr/offres/peugeot-2008-1-2-puretech-82ch-style-essence-gris-fa5a366c-9673-425c-8bef-5cf0b60673ae,,,,SUV/4x4/Pick-Up,Occasion,5,5,1964,3 mois,,12/2017,61 kW (83 CH),Boîte manuelle,1 199 cm³,Essence,114 g/km (mixte),GRIS C,,Noir,19
https://www.autoscout24.fr/offres/volkswagen-touran-1-6-tdi-105ch-bluemotion-fap-confortline-diesel-gris-ab9c281e-1f3e-4a88-b1c1-9fcb2f9f1565,,,,Autres,Occasion,7,5,3508,6 mois,,03/2011,78 kW (106 CH),Boîte manuelle,1 598 cm³,Diesel,121 g/km (mixte),GRIS C,,Noir,18
https://www.autoscout24.fr/offres/chevrolet-aveo-1-4-16v-lt-5p-essence-noir-f5ab38a5-6167-4a82-b9cd-1060280aaaa5,,,,Berline,Occasion,5,5,2108,3 mois,,07/2009,75 kW (102 CH),Boîte manuelle,1 399 cm³,Essence,140 g/km (mixte),NOIR,,Noir,12
https://www.autoscout24.fr/offres/tesla-model-3-3-2-275-autonomie-standard-plus-electrique-noir-34af3ae5-e68c-4486-a983-bac8552c1c47,,,,Berline,Occasion,5,4,7203,,,12/2021,,Boîte automatique,,Electrique,0 g/km (mixte),NOIR,,Noir,11
https://www.autoscout24.fr/offres/audi-a1-1-4-tdi-90-ambiente-diesel-cac16650-feef-4a25-9869-6e3d58ee5819,,,,Citadine,Occasion,5,5,r0070854,6 mois,,09/2015,66 kW (90 CH),Boîte manuelle,,Diesel,91 g/km (mixte),Gris clair,,Noir,14
https://www.autoscout24.fr/offres/bmw-325-325i-218ch-excellis-steptronic-a-2-eme-main-essence-gris-b5e3c5a7-07c3-4c15-bec2-141951e26fc5,,,,Coupé,Occasion,4,2,vq9gigf,6 mois,,06/2012,160 kW (218 CH),Boîte automatique,2 996 cm³,Essence,,GRIS CLAIR,,Noir,9
https://www.autoscout24.fr/offres/dacia-duster-1-5-dci-85ch-laureate-4x2-diesel-brun-def6f264-ee62-4d65-ad8a-04ee6ce92310,,,,SUV/4x4/Pick-Up,Occasion,5,5,813,3 mois,,06/2010,63 kW (86 CH),Boîte manuelle,1 461 cm³,Diesel,135 g/km (mixte),MARRON,,Noir,5
